decision_id,decision_timestamp,agent_type,confidence,session_id,conversation_timestamp,source_path,winning_turn,score,score_margin,appears_unique,ambiguity,diagnostic_failure_mode
mse_9m2jk06hgx7ctrm1:d2,2026-07-05T01:27:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_a0bxp5n1wcnsjxvw:d2,2026-07-15T17:05:00+00:00,codex,No match,019f64ba-a828-7a83-909d-bef0998afdab,2026-07-15T07:43:07.213000+00:00,.codex/sessions/2026/07/15/rollout-2026-07-15T08-43-07-019f64ba-a828-7a83-909d-bef0998afdab.jsonl,1,0.198791347310889,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_a0bxp5n1wcnsjxvw:d4,2026-07-15T17:05:00+00:00,codex,Low,019f64ba-a828-7a83-909d-bef0998afdab,2026-07-15T07:43:07.213000+00:00,.codex/sessions/2026/07/15/rollout-2026-07-15T08-43-07-019f64ba-a828-7a83-909d-bef0998afdab.jsonl,1,0.27931382620649947,0.0,False,competitive second session,multiple conversations discuss similar material
mse_bfaa3ef75wgccys2:d3,2026-07-27T01:24:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_bz03mjc3mvxk8t68:d3,2026-07-22T00:08:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_caj7ys6j6zbxp5rk:d1,2026-09-19T08:37:00+00:00,codex,Low,01a0b600-7c89-70f2-a85a-c57aad5c5b26,2026-09-18T19:31:20.495000+00:00,.codex/sessions/2026/09/18/rollout-2026-09-18T20-31-20-01a0b600-7c89-70f2-a85a-c57aad5c5b26.jsonl,8,0.3839091477004472,0.15397316317617024,True,,"decision wording may be rewritten, synthesized across turns, or weakly distinctive"
mse_dc48xabd9c2gg6pa:d1,2026-07-22T22:53:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_ddba1ztxqhasfbwf:d1,2026-07-16T22:18:00+00:00,codex,No match,019f64ba-a828-7a83-909d-bef0998afdab,2026-07-15T07:43:07.213000+00:00,.codex/sessions/2026/07/15/rollout-2026-07-15T08-43-07-019f64ba-a828-7a83-909d-bef0998afdab.jsonl,1,0.20709383104595228,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_fhdns7vy5pb316q3:d2,2026-07-05T19:00:00+00:00,codex,No match,019f26b2-9813-7101-ac1c-baa49a3c8ad2,2026-07-03T06:37:53.882000+00:00,.codex/sessions/2026/07/03/rollout-2026-07-03T07-37-53-019f26b2-9813-7101-ac1c-baa49a3c8ad2.jsonl,1,0.15078191755362888,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_ftqwacmpv594wvy3:d1,2026-08-03T17:11:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_g3c3tamy9d449w79:d1,2026-07-23T07:25:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_g3r6ba77w23c1y3w:d1,2026-08-26T22:50:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_g705vcrc90z5x41d:d1,2026-07-19T19:18:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_gsqy74hz2652y0vj:d1,2026-07-16T19:50:00+00:00,codex,No match,019f64ba-a828-7a83-909d-bef0998afdab,2026-07-15T07:43:07.213000+00:00,.codex/sessions/2026/07/15/rollout-2026-07-15T08-43-07-019f64ba-a828-7a83-909d-bef0998afdab.jsonl,1,0.18735478416059137,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_h0m8czgad9a9htpk:d1,2026-09-06T23:42:00+00:00,codex,Low,01a05ef9-96eb-7232-a0d7-71cf48d55c3a,2026-09-05T12:50:25.762000+00:00,.codex/sessions/2026/09/05/rollout-2026-09-05T13-50-25-01a0719e-c4cc-7a72-b7ba-d291ce83f937.jsonl,2,0.307282887212393,0.0,False,competitive second session,multiple conversations discuss similar material
mse_h8tn4qkw2v6x9rdj:d1,2026-07-11T14:02:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_hexq9x671dww29te:d1,2026-07-15T17:53:00+00:00,codex,Low,019f64ba-a828-7a83-909d-bef0998afdab,2026-07-15T07:43:07.213000+00:00,.codex/sessions/2026/07/15/rollout-2026-07-15T08-43-07-019f64ba-a828-7a83-909d-bef0998afdab.jsonl,1,0.2824863838236787,0.0,False,competitive second session,multiple conversations discuss similar material
mse_jbv3ctfaxq3pjbwp:d1,2026-07-16T09:00:00+00:00,codex,Low,019f64ba-a828-7a83-909d-bef0998afdab,2026-07-15T07:43:07.213000+00:00,.codex/sessions/2026/07/15/rollout-2026-07-15T08-43-07-019f64ba-a828-7a83-909d-bef0998afdab.jsonl,1,0.25196221755093545,0.0,False,competitive second session,multiple conversations discuss similar material
mse_jpfs9yy19bznh18y:d3,2026-07-10T04:10:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_m6amd5db4c7s8sfw:d2,2026-07-10T02:28:00+00:00,codex,Low,019f26b2-9813-7101-ac1c-baa49a3c8ad2,2026-07-09T17:56:20.981000+00:00,.codex/sessions/2026/07/09/rollout-2026-07-09T18-56-20-019f4805-edd9-7e30-98ea-864077a28874.jsonl,1,0.27724965045284,0.0,False,competitive second session,multiple conversations discuss similar material
mse_m6nrb8v2x05bv0hm:d1,2026-06-28T01:03:00+00:00,codex,Medium,019f0b5e-267a-7263-8c5c-0f6fb130fe4b,2026-06-27T23:15:47.499000+00:00,.codex/sessions/2026/06/28/rollout-2026-06-28T00-15-47-019f0b5e-267a-7263-8c5c-0f6fb130fe4b.jsonl,15,0.45502513204502787,0.19636763768236787,True,,
mse_mj4vwfbjdhkej485:d1,2026-07-16T20:49:00+00:00,codex,No match,019f64ba-a828-7a83-909d-bef0998afdab,2026-07-15T07:43:07.213000+00:00,.codex/sessions/2026/07/15/rollout-2026-07-15T08-43-07-019f64ba-a828-7a83-909d-bef0998afdab.jsonl,1,0.20229315827779845,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_n3bw6rkq0e8t2ypc:d1,2026-07-11T07:32:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_ngwdpar27fjad246:d1,2026-07-12T10:44:00+00:00,codex,No match,019f26b2-9813-7101-ac1c-baa49a3c8ad2,2026-07-09T17:56:20.981000+00:00,.codex/sessions/2026/07/09/rollout-2026-07-09T18-56-20-019f4805-edd9-7e30-98ea-864077a28874.jsonl,1,0.1964173076706892,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_pkd8hbh3qbbahydn:d1,2026-07-30T16:37:00+00:00,codex,No match,019fadcc-85d6-7142-b038-c6916abbeeb2,2026-07-29T12:14:49.965000+00:00,.codex/sessions/2026/07/29/rollout-2026-07-29T13-14-49-019fadcc-85d6-7142-b038-c6916abbeeb2.jsonl,1,0.2123271813772604,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_ptfk5epzwmqy5stk:d1,2026-07-11T20:55:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_r32k8mk46ky8rdtv:d3,2026-08-04T10:33:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_s0kh1h39kzdgyk38:d1,2026-07-25T21:05:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_sdh0v1jsgxaamax5:d1,2026-07-20T15:39:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_v3q8dwm2knzp61tr:d1,2026-07-10T19:35:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_wb6d4gmjpmrj0k67:d1,2026-07-26T00:22:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_wk3e5p73shz4edbb:d1,2026-06-28T00:03:00+00:00,codex,Medium,019f0b5e-267a-7263-8c5c-0f6fb130fe4b,2026-06-27T23:15:47.499000+00:00,.codex/sessions/2026/06/28/rollout-2026-06-28T00-15-47-019f0b5e-267a-7263-8c5c-0f6fb130fe4b.jsonl,8,0.4771432591670603,0.225034183812845,True,,
mse_xf4bbxff588ytvq4:d1,2026-08-18T14:47:00+00:00,codex,Low,01a0154b-aab2-7182-97a0-391c4c16c517,2026-08-18T14:34:35.672000+00:00,.codex/sessions/2026/08/18/rollout-2026-08-18T15-34-35-01a0154b-aab2-7182-97a0-391c4c16c517.jsonl,2,0.23426375033836175,0.01731233714887004,True,,"decision wording may be rewritten, synthesized across turns, or weakly distinctive"
mse_xje157km2m3rfzv0:d2,2026-07-17T02:10:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_xz2pr6w8g5xkrecx:d1,2026-07-27T16:15:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
mse_z61np2tq3zkg01ew:d1,2026-06-27T22:37:00+00:00,codex,Medium,019f0a8c-6dfa-72f3-902a-fe8af9bcf875,2026-06-27T19:26:43.254000+00:00,.codex/sessions/2026/06/27/rollout-2026-06-27T20-26-43-019f0a8c-6dfa-72f3-902a-fe8af9bcf875.jsonl,6,0.4475520550012872,0.20349551176142316,True,,
mse_zdw5vvvazqcac1ky:d1,2026-07-20T18:47:00+00:00,claude,No match,,,,,,0.0,True,,decision appears to have been created outside retained Codex conversation history
